scenario,default_rate,recovery_rate,iteration,senior_return,junior_return,equity_return,total_final_value
High Junior Yield (12%),0.04,0.4,9,0.04998885,0.11997324,1.09528968,1112751.55
High Junior Yield (12%),0.04,0.4,10,0.0486141,0.11667384,0.80598888,1096691.8
High Junior Yield (12%),0.04,0.4,11,0.04987985,0.11971164,1.37692348,1126706.8
High Junior Yield (12%),0.04,0.4,12,0.04995945,0.11990268,1.35574776,1125740.35
High Junior Yield (12%),0.04,0.4,13,0.0499358,0.11984592,0.79246744,1097548.9
High Junior Yield (12%),0.04,0.4,14,0.0499538,0.11988912,1.01611984,1108752.4
High Junior Yield (12%),0.04,0.4,15,0.04761545,0.11427708,1.46994856,1128731.35
High Junior Yield (12%),0.04,0.4,16,0.0495537,0.11892888,1.22984616,1118974.6
High Junior Yield (12%),0.04,0.4,17,0.0499889,0.11997336,1.57697152,1136835.7
High Junior Yield (12%),0.04,0.4,18,0.04985995,0.11966388,1.54839116,1135257.1
High Junior Yield (12%),0.04,0.4,19,0.0499937,0.11998488,1.42381816,1129183.6
High Junior Yield (12%),0.04,0.4,20,0.04855095,0.11652228,1.26324996,1119481.6
High Junior Yield (12%),0.04,0.4,21,0.04992335,0.11981604,0.90122428,1102972.3
High Junior Yield (12%),0.04,0.4,22,0.04927385,0.11825724,1.22700268,1118507.8
High Junior Yield (12%),0.04,0.4,23,0.04762395,0.11429748,1.28126136,1119306.85
High Junior Yield (12%),0.04,0.4,24,0.0499396,0.11985504,1.24425728,1120142.8
High Junior Yield (12%),0.04,0.4,25,0.0499125,0.11979,1.33818,1124807.5
High Junior Yield (12%),0.04,0.4,26,0.04954145,0.11889948,1.19050036,1116993.1
High Junior Yield (12%),0.04,0.4,27,0.04972375,0.119337,1.274159,1121387.5
High Junior Yield (12%),0.04,0.4,28,0.04996765,0.11992236,1.57891952,1136908.45
High Junior Yield (12%),0.04,0.4,29,0.04997785,0.11994684,1.07526488,1111737.55
High Junior Yield (12%),0.04,0.4,30,0.04807115,0.11537076,1.40966332,1126245.7
High Junior Yield (12%),0.04,0.4,31,0.04992355,0.11981652,1.07125664,1111474.15
High Junior Yield (12%),0.04,0.4,32,0.0499749,0.11993976,1.27665132,1121803.45
High Junior Yield (12%),0.04,0.4,33,0.04939305,0.11854332,1.32294924,1123443.4
High Junior Yield (12%),0.04,0.4,34,0.0499891,0.11997384,1.35680888,1125827.8
High Junior Yield (12%),0.04,0.4,35,0.0498262,0.11958288,1.58254916,1136925.85
High Junior Yield (12%),0.04,0.4,36,0.04993215,0.11983716,1.20358812,1118100.7
High Junior Yield (12%),0.04,0.4,37,0.04986245,0.11966988,1.45636816,1130658.85
High Junior Yield (12%),0.04,0.4,38,0.0499365,0.1198476,1.0748082,1111666.75
High Junior Yield (12%),0.04,0.4,39,0.04990675,0.1197762,1.4460884,1130196.25
High Junior Yield (12%),0.04,0.4,40,0.04907745,0.11778588,1.21161516,1117510.6
High Junior Yield (12%),0.04,0.4,41,0.0498905,0.1197372,1.3148254,1123614.25
High Junior Yield (12%),0.04,0.4,42,0.0492397,0.11817528,1.14450596,1114343.35
High Junior Yield (12%),0.04,0.4,43,0.04825485,0.11581164,0.81190848,1096571.05
High Junior Yield (12%),0.04,0.4,44,0.0499928,0.11998272,1.17063004,1116523.15
High Junior Yield (12%),0.04,0.4,45,0.0498148,0.11955552,0.76653464,1096111.9
High Junior Yield (12%),0.04,0.4,46,0.0498564,0.11965536,1.41221052,1128443.95
High Junior Yield (12%),0.04,0.4,47,0.04969065,0.11925756,1.44328092,1129805.2
High Junior Yield (12%),0.04,0.4,48,0.0481216,0.11549184,1.27227488,1119434.8
High Junior Yield (12%),0.04,0.4,49,0.0493727,0.11849448,1.26874036,1120709.35
Large Scale (£10M),0.04,0.0,0,0.04999681,0.079994896,0.473901392,10756917.52
Large Scale (£10M),0.04,0.0,1,0.049803685,0.079685896,0.447007752,10741462.2
Large Scale (£10M),0.04,0.0,2,0.049993885,0.079990216,0.317590792,10678731.8
Large Scale (£10M),0.04,0.0,3,0.049998255,0.079997208,0.569281816,10804622.76
Large Scale (£10M),0.04,0.0,4,0.049264645,0.078823432,0.466496904,10745600.76
Large Scale (£10M),0.04,0.0,5,0.0499872,0.07997952,0.3942544,10716994.08
Large Scale (£10M),0.04,0.0,6,0.04989423,0.079830768,0.312770096,10675285.04
Large Scale (£10M),0.04,0.0,7,0.04971321,0.079541136,0.442324752,10738179.76
Large Scale (£10M),0.04,0.0,8,0.049998685,0.079997896,0.340582792,10690277.72
Large Scale (£10M),0.04,0.0,9,0.04998857,0.079981712,0.348275344,10694018.8
Large Scale (£10M),0.04,0.0,10,0.04953875,0.079262,0.41775544,10724080.72
Large Scale (£10M),0.04,0.0,11,0.049998825,0.07999812,0.48119364,10760584.6
Large Scale (£10M),0.04,0.0,12,0.049698715,0.079517944,0.599100088,10816416.68
Large Scale (£10M),0.04,0.0,13,0.04956845,0.07930952,0.46745128,10749237.52
Large Scale (£10M),0.04,0.0,14,0.04999651,0.079994416,0.581865712,10810896.56
Large Scale (£10M),0.04,0.0,15,0.04888497,0.078215952,0.524070864,10770439.12
Large Scale (£10M),0.04,0.0,16,0.049998845,0.079998152,0.453294984,10746635.48
Large Scale (£10M),0.04,0.0,17,0.04981767,0.079708272,0.636065584,10836136.56
Large Scale (£10M),0.04,0.0,18,0.049233175,0.07877308,0.51227772,10768163.88
Large Scale (£10M),0.04,0.0,19,0.049996345,0.079994152,0.423869544,10731896.76
Large Scale (£10M),0.04,0.0,20,0.04999356,0.079989696,0.417924992,10728895.52
Large Scale (£10M),0.04,0.0,21,0.04999842,0.079997472,0.551847904,10795907.52
Large Scale (£10M),0.04,0.0,22,0.04999855,0.07999768,0.5667116,10803340.72
Large Scale (£10M),0.04,0.0,23,0.049996415,0.079994264,0.549902808,10794914.12
Large Scale (£10M),0.04,0.0,24,0.049795895,0.07607006533333334,0.237723084,10631333.8
Large Scale (£10M),0.04,0.0,25,0.049833055,0.079732888,0.363663256,10700095.4
Large Scale (£10M),0.04,0.0,26,0.0496858,0.07949728,0.45850912,10745986.88
