scenario,default_rate,recovery_rate,iteration,senior_return,junior_return,equity_return,total_final_value
Mid-Market DL (£100M),0.1,0.4,11,0.06,0.09842636,-0.350643064,102662096.56
Mid-Market DL (£100M),0.1,0.4,12,0.06,-0.00951519,-0.507393012,98935766.08
Mid-Market DL (£100M),0.1,0.4,13,0.06,0.0811273,0.161851272,107441058.72
Mid-Market DL (£100M),0.1,0.4,14,0.06,0.036767315,-0.485451988,100080826.42
Mid-Market DL (£100M),0.1,0.4,15,0.06,0.098646275,0.424962958,110422555.08
Mid-Market DL (£100M),0.1,0.4,16,0.06,-0.00325382,-0.503656926,99098354.34
Mid-Market DL (£100M),0.1,0.4,17,0.06,0.00013862,-0.502210324,99180669.16
Mid-Market DL (£100M),0.1,0.4,18,0.06,0.089658105,0.463024902,110623411.12
Mid-Market DL (£100M),0.1,0.4,19,0.06,0.071654375,0.609919718,111732284.68
Mid-Market DL (£100M),0.1,0.4,20,0.06,0.0884194,-0.327395398,102694434.02
Mid-Market DL (£100M),0.1,0.4,21,0.06,0.08716959,-0.3228801,102714590.8
Mid-Market DL (£100M),0.1,0.4,22,0.06,0.08730391,0.222014838,108166226.58
Mid-Market DL (£100M),0.1,0.4,23,0.06,0.06894859275,0.2463017965,108041989.82
Mid-Market DL (£100M),0.1,0.4,24,0.06,0.08829576,0.390971098,109875626.18
Mid-Market DL (£100M),0.1,0.4,25,0.06,0.07260094,-0.162255324,104029465.56
Mid-Market DL (£100M),0.1,0.4,26,0.06,0.081496665,-0.302445512,102805478.18
Mid-Market DL (£100M),0.1,0.4,27,0.06,-0.105136745,-0.552220796,96575057.14
Mid-Market DL (£100M),0.1,0.4,28,0.06,0.089230805,0.771384644,113698462.54
Mid-Market DL (£100M),0.1,0.4,29,0.06,0.092463615,-0.421269264,101836579.66
Mid-Market DL (£100M),0.1,0.4,30,0.06,0.09620398,0.24417236,108565803.2
Mid-Market DL (£100M),0.1,0.4,31,0.06,0.0693290625,0.024350813,105830089.38
Mid-Market DL (£100M),0.1,0.4,32,0.06,0.058752385,-0.473476262,100640285.08
Mid-Market DL (£100M),0.1,0.4,33,0.06,-0.1477029,-0.56990161,95546925.9
Mid-Market DL (£100M),0.1,0.4,34,0.06,0.09035821,0.28735295,108880693.7
Mid-Market DL (£100M),0.1,0.4,35,0.06,0.09350143,0.604571026,112115738.86
Mid-Market DL (£100M),0.1,0.4,36,0.06,0.075862095,0.760689676,113324138.66
Mid-Market DL (£100M),0.1,0.4,37,0.06,0.07024969875,0.2885776925,108490770.9
Mid-Market DL (£100M),0.1,0.4,38,0.06,0.08899504,0.029029016,106270190.96
Mid-Market DL (£100M),0.1,0.4,39,0.06,0.08448377,0.32336139,109123289.3
Mid-Market DL (£100M),0.1,0.4,40,0.06,0.0839582,-0.134864728,104530516.72
Mid-Market DL (£100M),0.1,0.4,41,0.06,0.072709875,-0.383839542,101815802.08
Mid-Market DL (£100M),0.1,0.4,42,0.06,0.086660725,0.365514428,109588358.78
Mid-Market DL (£100M),0.1,0.4,43,0.06,-0.037189815,-0.518698122,98269222.48
Mid-Market DL (£100M),0.1,0.4,44,0.06,0.08187514,0.325593052,109093433.32
Mid-Market DL (£100M),0.1,0.4,45,0.06,0.08554998,0.437576216,110286761.76
Mid-Market DL (£100M),0.1,0.4,46,0.06,0.093526475,0.25180435,108588573.0
Mid-Market DL (£100M),0.1,0.4,47,0.06,-0.013176095,-0.509835126,98838126.84
Mid-Market DL (£100M),0.1,0.4,48,0.06,0.07908414,0.004423064,105825913.44
Mid-Market DL (£100M),0.1,0.4,49,0.06,0.0945941,0.020436386,106296245.86
